"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Afghanistan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000000.0, -700000.0, 1500000.0, 0, 0, -1918036.13352597, 247111.034433406, -1248047.48845387, 1137137.38873923, -8860851.34389303, 537318.99040943, -19153.710717345, 2163053.08831476, 14006046.5507614, 11260735.7647647, 38803701.6430421, 26321046.5766518, 37228478.0954418, 30790959.9, 0, 0
"Angola", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 900000.0, 0.0, 188900.7, 2000000.0, -2000000.0, -1000000.0, -12420956.3, 3973419.4, 0.0, -88285.0, 0.0, 0.0, 100111000.0, 95900000.0, 783236000.0, 219362057.12, 190585085.92, 911781455.46, 2569643973.88, 6753124.58, 1340429383.96, 2092642447.92077, 886475740.615268, 921566192.173228, 886792456.704808, -784870216.626256, 273005000.0, 1352005056.9, 5714167.48479243, -2349425835.33608, 90514469.0, -1057370588.35045, 41066362.25, 0
"Albania", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13603902.3661545, 4061523.92699014, 10500000.0, 4910319.91631329, 365935742.705463, 394652571.591839, 46386529.5165946, 202090000.435402, 83178444.5209968, 28449540.9228266, 75647491.6332711, 79310556.1473249, 7038767.39963294, -106176134.436441, -4513335.95696013, 39976866.3476733, 50098202.0405848, 49941569.8261184, 173753265.706846, 0
"Andorra", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"United Arab Emirates", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2000000.0, 3000000.0, 8000000.0, 3000000.0, 10000000.0, 11069596.8, -23325605.3, -11108923.1, 69610177.7, 3687066.7, -57651390.6, 10441825.5, 15196200.0, 30759464.1, 577000890.5, 62466873.5, 128613431.1, 231131677.8, 127300067.2, 317106416.9, 423667086.2, 213701291.1, 441116405.7, 991150442.4, 2208000000.0, 3750300000.0, 10891763104.1, 14567733151.8, 15820299999.9, 2722900000.0, 2015000000.0, 2178000000.0, 2536010989.2, 8828337874.6, 11735900000.0, 16691599999.9, 15711400000.0, 14059946000.0, 15079291999.9, 21226158038.1, 18937329700.3, 22545949625.6, 24833219877.5, 0
"Argentina", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1816999.9, 0, 1672999.9, 0, 2395999.9, 4487000.0, 1541999.9, -1000000.0, -23000000.0, -59000000.0, -110000000.0, -107000000.0, -30000000.0, 2000000.0, 43558999.9, 42349047.5, 11199789.6, 48130952.7, -22677108.8, 64400565.2, 34902986.2, 49385693.9, 1165914300.0, 705070000.0, 1012844000.0, 1497149000.0, 1600749000.0, 3652818000.0, 2325477000.0, 1730283000.0, 901028199.337856, 160876687.495159, -627140000.0, 773780000.0, 675990000.0, 1311060000.0, 2438720720.56097, 1504232961.34457, 1390934588.87756, 711546403.745669, 964760680.391808, 1488000000.0, 1054849578.05633, 889972858.727091, 1920541433.10505, 875233227.354258, 1786530934.74804, 1155630218.02453, 1725981572.70571, 1522728151.79532, 1177176908.60546, 1536769968.39621, 2076450897.97089, 0
"Armenia", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 11546000.0, 0.0, 0.0, 0.0, 1531.79396411895, 609017.725054563, -124251.615741057, 5389048.33419248, 22627066.2732679, 8891714.10689734, 30506460.9457783, 52240416.0162577, 27459062.6492974, 219081534.082655, 23425969.0675175, 30262870.0737815, 28804082.7021233, 28751924.3342048, 70519382.3653528, 29056823.8983208, 7012505.83172007, -132995060.898837, -27278869.1166219, 24593741.1066731, 49744937.6177013, 0
"Antigua and Barbuda", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6332102.67407407, 14075528.7777778, 37982582.2788889, 11636883.9761667, -1042646.02502499, -11183695.9851852, 2385033.50140741, -3623527.01657778, -10697520.0, 0
"Austria", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8650000.0, 36119999.9, 38369999.9, 38759999.9, 19730000.0, 25829999.9, 56210000.0, 86099999.9, 89810000.0, 84859999.9, 100720000.0, 210940000.0, 139300000.0, 188630000.0, 70310000.0, 43500326.2, 294751459.0, 316393118.4, 283453598.6, 861632415.5, 1701000000.0, 1293000000.0, 1760037229.4923, 1178548217.6795, 1241015850.2394, 1083553079.0561, 1889079774.5433, 1998372652.3951, 2768044224.7606, 3300911863.7116, 5509489589.0916, 3021896895.7772, 5780433861.9359, 6859781904.5319, 8029899486.5682, 81289428264.3297, 16087848123.8493, 79039906399.5073, 27903023947.0494, 15558174355.0001, -14327624858.1531, 38145284752.7664, 18444297859.0075, 11031000205.4569, -875366262.428339, -2139495177.68873, -26915802129.1463, 10108273841.7013, -26914104175.5493, -7166077122.70056, 760582295.290978, 20937422031.6744, -2392507341.55859, 0
"Azerbaijan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3899260.3, 4000.0, 20000.0, 0, 760000.0, 593066000.0, 957756000.0, 1655583000.0, 2367824000.0, 4017245000.0, 5775441000.0, 9628755000.0, 4527631000.0, 2752849000.0, 3021842000.0, 3552538000.0, 4480843000.0, 1477887000.0, 1987073000.0, 3209378000.0, 2573601000.0, 2564380648.1, 1760877000.0, 2431719000.0, 825278000.0, 76987000.0, 172210000.0, 0
