"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Afghanistan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Angola", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52.0, 0, 0, 0, 0, 0, 0, 0, 42.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.3, 0, 0, 0, 0, 0
"Albania", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.0, 0, 0, 0, 0, 0, 31.7, 0, 0, 30.6, 0, 0, 30.0, 0, 0, 0, 29.0, 0, 34.6, 32.8, 33.7, 33.1, 30.1, 30.1, 29.4, 0, 0, 0
"Andorra", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"United Arab Emirates", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.5, 0, 0, 0, 0, 26.0, 0, 0, 0, 0, 0
"Argentina", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40.8, 0, 0, 0, 0, 0, 42.8, 45.3, 0, 0, 0, 46.8, 45.5, 44.9, 45.9, 48.9, 49.5, 49.1, 50.7, 49.8, 51.1, 53.3, 53.8, 50.9, 48.4, 47.7, 46.3, 46.2, 44.9, 43.7, 43.6, 42.6, 41.3, 40.9, 41.6, 0, 42.0, 41.1, 41.3, 42.9, 42.3, 42.0, 0, 0
"Armenia", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36.2, 0, 35.4, 34.8, 33.0, 37.5, 36.0, 29.7, 31.2, 29.2, 28.0, 30.0, 29.4, 29.6, 30.6, 31.5, 32.4, 32.5, 33.6, 34.4, 30.0, 25.1, 27.9, 0, 0
"Antigua and Barbuda", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Austria", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.8, 29.9, 29.3, 29.1, 31.3, 29.7, 29.0, 0, 0, 29.5, 29.8, 28.7, 29.6, 30.6, 30.4, 31.5, 30.3, 30.8, 30.5, 30.8, 30.5, 30.5, 30.8, 29.7, 30.8, 30.2, 29.8, 0, 0, 0
"Azerbaijan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.7, 0, 0, 0, 0, 0, 36.5, 25.3, 26.8, 26.6, 26.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
