"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Afghanistan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2939585.50125376, 0, 0, 3341271.55123016, 3581366.35143003, 4203664.56865451, 5393251.2159455, 6127288.0633346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125111557.457054, 122727193.134874, 131346231.269517, 219580214.296198, 240532594.620985, 251869514.820335, 298147102.825701, 325806949.72333, 238583385.374322, 217194107.113298, 268238787.719988, 199517108.764826, 185878310.062383, 191407113.244397, 198074728.574408, 226306243.729258, 279576954.925193, 278250788.014927, 0, 0
"Angola", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343271609.064777, 504712881.877131, 497359449.16104, 618891637.14152, 668493883.280968, 778628250.551507, 1066247743.83314, 1146467009.82686, 1156494418.07607, 1487398890.30015, 1469382980.14573, 1948559395.68153, 1751153151.94866, 1031247788.04428, 794138821.161656, 1774397876.82742, 594991178.694447, 233843714.8893, 159741933.468199, 456780475.026196, 170278292.568682, 1066588789.23285, 583621333.598924, 404299139.990661, 438686245.411232, 670021164.432494, 817533582.152083, 1365055398.69044, 1970309115.18376, 2032432883.4343, 3163591147.40902, 3311193245.27722, 3500794836.44649, 3639496373.5446, 4144634851.46856, 6090751702.00884, 6846249313.34052, 3608299114.61674, 2764054937.15976, 3062872913.9838, 1983613748.00089, 1470938717.28754, 993594404.625879, 981451011.871799, 1622763731.95097, 0
"Albania", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31559657.4817579, 39289843.4285042, 49649504.9316606, 50907521.7778257, 45713356.1086709, 29825491.9997583, 33638047.439804, 42784205.2131221, 45362503.3922719, 53232045.1615151, 58649352.5025864, 76142881.7606657, 100922358.435493, 110140852.685934, 140983900.659916, 194840309.240843, 255677957.818501, 182736862.497776, 185893241.995074, 197006789.236335, 183204695.660212, 180015508.820867, 178120368.027763, 132350667.590834, 130853203.626464, 144382688.719935, 175886688.575874, 197225913.318893, 196596308.984418, 222814540.116661, 288724229.263441, 0
"Andorra", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"United Arab Emirates", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3335766741.48489, 4010347174.94894, 4233083730.42886, 5875833900.61266, 5797957794.41797, 5354118447.92376, 5834717494.89449, 6816882232.81144, 6604220558.20286, 7165418652.14432, 8460993873.38325, 11571681415.9292, 13836351259.3601, 17504697072.8387, 19181756296.8005, 19024098025.8679, 23561061946.9027, 22755071477.1954, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Argentina", 0.0, 0.0, 305162407.203668, 242219771.188823, 245740498.034076, 252407602.894431, 279225436.289744, 251930719.052261, 337142857.142857, 442857142.857143, 445713893.877895, 519719484.172883, 766000000.0, 1294000000.0, 1626000000.0, 798359535.20164, 2050248958.80214, 2058223941.63377, 3103989946.59127, 5057062803.25292, 6477389013.47732, 5882767126.46132, 2279872697.46359, 2848053181.38652, 2527749814.85341, 2027221261.23072, 2449545720.61181, 2485659655.83174, 2696341658.47862, 1440922190.20173, 2050907629.17129, 2858778842.10019, 3254455191.68378, 3368550452.17659, 3754724686.88939, 3801950487.62191, 3379138769.76541, 3340670335.16758, 3398699349.67484, 3461730865.43272, 3266633316.65833, 3183591795.89795, 1114172482.91036, 1374873734.32668, 1465809188.24616, 1699579151.82907, 1847553129.83947, 2296448241.88781, 2788980204.56974, 2981852290.09382, 3475348407.46349, 4051930104.57065, 4563217858.77234, 5137974300.9699, 4979442724.4582, 5482616700.96393, 4509647660.05234, 5459643672.45401, 3842852365.3176, 3132654926.06745, 2830929705.21542, 3073433322.80813, 2577581833.22657, 0
"Armenia", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 9829763.86600769, 0, 52228583.8170226, 52410268.5482839, 64062121.1905135, 66757573.0568511, 68234148.5659606, 68052142.0654426, 66247626.4597048, 64106405.6523643, 76587998.887282, 98070488.1985412, 140738102.677157, 188189116.431112, 280108688.343921, 395994365.442251, 359499343.487034, 395011507.787829, 390871433.902191, 380571678.896068, 444551859.501106, 457807021.791353, 447379807.506819, 431396218.601658, 443610413.340995, 513252026.482368, 652000174.824083, 633960400.11526, 619435471.710093, 795201580.049707, 0
"Antigua and Barbuda", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Austria", 91559097.9576499, 91029854.6168543, 100026991.410381, 125959915.109368, 164594678.987452, 142895702.014829, 167770139.032226, 176767275.825752, 182059709.233709, 193173819.390418, 199524739.479966, 209277606.745348, 249425547.367042, 328898821.44589, 422543505.786049, 546724394.020795, 581408727.267149, 686893244.300868, 877450655.245279, 1049972515.42533, 1152895906.47504, 969372327.098363, 995369996.934841, 991995097.475966, 949715291.722829, 1036872489.29208, 1475426088.99424, 1737112605.38592, 1713954576.8605, 1623488055.24644, 1972701681.51639, 1994055545.99645, 2139925321.74009, 2115115266.68433, 2227560550.13156, 2557834494.18618, 2457903048.65764, 2164802343.39854, 2159796003.21024, 2124379545.86859, 1925557398.19421, 1788798310.52966, 1881746741.32982, 2381962768.92309, 2679282064.65391, 2686166243.8442, 2640185362.43902, 3499817967.31076, 3746731607.28018, 3334754939.61878, 3218351224.09923, 3409721208.58269, 3187227448.7533, 3229065841.34293, 3305159256.48245, 2665409781.52379, 2885947386.10357, 3153118623.81495, 3387982011.96842, 3336542767.57725, 3840077510.54371, 4196428571.42857, 3625564801.804, 0
"Azerbaijan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11070110.701107, 77519379.8449612, 43942747.0585426, 66159968.9138776, 71606841.2432157, 92086691.9675062, 107262858.619798, 120262173.966334, 119575651.71524, 131963660.064189, 139894091.943335, 176552162.305808, 228249631.62565, 304521477.7332, 717111853.555619, 946599792.104637, 1607799225.91952, 1472909976.94651, 1476608733.57005, 3080084995.80846, 3246122612.63039, 3367574161.19744, 3427179917.06482, 2900551382.15215, 1396969107.65832, 1528859592.29385, 1672176470.58824, 1854235294.11765, 2237764705.88235, 2703176470.58824, 2991035294.11765, 0
